fecha_extraccion,external_id,titulo,precio_usd,ubicacion,categoria,subcategoria,link
2026-09-21 14:05:46,453,Restaurante de Sushi,80000.0,"Ciudad Vieja, Montevideo",Gastronomía,Restaurantes,https://negozona.com.uy/anuncios/453
2026-09-21 14:05:56,1266,Empresa Rentable Sector Purificación de Agua,285000.0,"Pocitos, Montevideo",Industria y Manufactura,Otros,https://negozona.com.uy/anuncios/1266
2026-09-21 14:05:44,1232,Marlon Bar en Pleno Punta Carretas,30000.0,"Punta Carretas, Montevideo",Gastronomía,Bar,https://negozona.com.uy/anuncios/1232
2026-09-21 14:05:40,563,"Venta de Llave, Negocio Funcionando",18500.0,"Reducto, Montevideo",Gastronomía,Rotiserías,https://negozona.com.uy/anuncios/563
2026-09-21 14:05:40,1408,Venta de Llave de Bar en Cordón,,"Cordón, Montevideo",Gastronomía,Bar,https://negozona.com.uy/anuncios/1408
2026-09-21 14:05:52,458,Vendo Llave De Salon De Fiestas,25000.0,"Cerrito de la Victoria, Montevideo",Deportes y Ocio,Salón de Juegos,https://negozona.com.uy/anuncios/458
2026-09-21 14:05:42,1199,Llave de Negocio Venta - Pizzería y Rotisería,29000.0,"Prado, Montevideo",Gastronomía,Pizzerias,https://negozona.com.uy/anuncios/1199
2026-09-21 14:05:56,1268,Oportunidad de Venta Llave Restaurante,30000.0,"Ciudad Vieja, Montevideo",Gastronomía,Restaurantes,https://negozona.com.uy/anuncios/1268
2026-09-21 14:05:56,1105,Importante Parrillada en La Aguada,35000.0,"Aguada, Montevideo",Gastronomía,Parrillas,https://negozona.com.uy/anuncios/1105
2026-09-21 14:05:50,1271,LLAVE DE NEGOCIO GASTRONOMICO,40000.0,"Cordón, Montevideo",Alimentos y Bebidas,Otros,https://negozona.com.uy/anuncios/1271
2026-09-21 14:05:44,697,Oportunidad | Resto Pub en Venta,25000.0,"Pocitos, Montevideo",Gastronomía,Pub,https://negozona.com.uy/anuncios/697
2026-09-21 14:05:44,1285,Llave de Óptica en Venta Negocio,25000.0,"Tres Cruces, Montevideo",Salud,Ópticas,https://negozona.com.uy/anuncios/1285
2026-09-21 14:05:44,1287,LLAVE HISTÓRICA PELUQUERÍA Y CENTRO ESTÉTICO,30000.0,"Buceo, Montevideo",Servicios,Peluquerias,https://negozona.com.uy/anuncios/1287
2026-09-21 14:05:57,660,Venta de Llave Almacen Minimercado,59000.0,"Aires Puros, Montevideo",Alimentos y Bebidas,Almacenes,https://negozona.com.uy/anuncios/660
2026-09-21 14:05:46,587,Oportunidad | Cafeterías + Planta Elaboración,,"Pocitos, Montevideo",Gastronomía,Café,https://negozona.com.uy/anuncios/587
2026-09-21 14:05:52,1357,LLAVE O FONDO DE NEGOCIO,7000.0,"Unión, Montevideo",Servicios,Peluquerias,https://negozona.com.uy/anuncios/1357
2026-09-21 14:05:50,455,Vendo Llave de Pizzeria y Rotisería,9500.0,"Cerrito de la Victoria, Montevideo",Gastronomía,Pizzerias,https://negozona.com.uy/anuncios/455
2026-09-21 14:05:44,639,Pizzería en Venta! Oportunidad!,15000.0,"Sayago, Montevideo",Gastronomía,Pizzerias,https://negozona.com.uy/anuncios/639
2026-09-21 14:05:48,1370,🚨 VENTA DE FONDO DE COMERCIO ÓPTICA EN FUNCI,18000.0,"Cordón, Montevideo",Salud,Ópticas,https://negozona.com.uy/anuncios/1370
2026-09-21 14:05:42,771,Excelente Oportunidad | Óptica Funcionando,23000.0,"Cordón, Montevideo",Salud,Ópticas,https://negozona.com.uy/anuncios/771
2026-09-21 14:05:44,593,Pizzeria y Restoran en Venta!,38000.0,"Salinas, Canelones",Gastronomía,Pizzerias,https://negozona.com.uy/anuncios/593
2026-09-21 14:05:42,1294,Traspaso Llave Peluquería Muy Rentable,43000.0,"Piedras Blancas, Montevideo",Servicios,Peluquerias,https://negozona.com.uy/anuncios/1294
2026-09-21 14:05:48,804,VENTA DE LLAVE LOCAL GASTRONOMICO,45000.0,"Ciudad Vieja, Montevideo",Gastronomía,Restaurantes,https://negozona.com.uy/anuncios/804
2026-09-21 14:05:54,1230,"Restaurante, Cafeteria, Bar en Venta!!",50000.0,"Cordón, Montevideo",Gastronomía,Bar,https://negozona.com.uy/anuncios/1230
2026-09-21 14:05:40,1298,Venta de Panadería con Amplia Trayectoria!,70000.0,"Barros Blancos, Canelones",Alimentos y Bebidas,Panaderías,https://negozona.com.uy/anuncios/1298
