fecha_extraccion,external_id,titulo,precio_usd,ubicacion,categoria,subcategoria,link
2026-09-21 14:05:52,389,Parador Restaurant en Venta,70000.0,"Sarandí Grande, Florida",Gastronomía,Restaurantes,https://negozona.com.uy/anuncios/389
2026-09-21 14:05:54,891,IMPERDIBLE AUTOSERVICIO,70000.0,"La Figurita, Montevideo",Alimentos y Bebidas,Supermercados,https://negozona.com.uy/anuncios/891
2026-09-21 14:05:52,941,Alquiladora de Indumentaria para Fiestas!!,79000.0,"San José de Mayo, San José",Indumentaria y Moda,Indumentaria Varios,https://negozona.com.uy/anuncios/941
2026-09-21 14:05:46,1076,VENTA DE LLAVE LOCAL GASTRONOMICA EN PDE,80000.0,"Punta del Este, Maldonado",Gastronomía,Bar,https://negozona.com.uy/anuncios/1076
2026-09-21 14:05:48,1371,VENTA DE LLAVE -Cafetería Totalmente Equipada,80000.0,"Punta Carretas, Montevideo",Gastronomía,Café,https://negozona.com.uy/anuncios/1371
2026-09-21 14:05:56,932,Llave de Carnicería en Venta!,80000.0,"Cerrito de la Victoria, Montevideo",Alimentos y Bebidas,Carnicerias,https://negozona.com.uy/anuncios/932
2026-09-21 14:05:57,1223,Simple Sabores Caseros - Negocio en Venta!,80000.0,"Maldonado, Maldonado",Gastronomía,Rotiserías,https://negozona.com.uy/anuncios/1223
2026-09-21 14:05:42,772,Venta de Llave de Almacén 24hs en Montevideo,88000.0,"Centro, Montevideo",Alimentos y Bebidas,Almacenes,https://negozona.com.uy/anuncios/772
2026-09-21 14:05:52,1080,"Venta Llave de Negocio Hostel, Hoteleria",89000.0,"Cordón, Montevideo",Turismo y Hotelería,Hoteles y Alojamiento,https://negozona.com.uy/anuncios/1080
2026-09-21 14:05:54,970,Llave de Restaurante en La Barra,90000.0,"Punta del Este, Maldonado",Gastronomía,Restaurantes,https://negozona.com.uy/anuncios/970
2026-09-21 14:05:54,796,Clínica Estética +estudio de Pilates Reformer,95000.0,"Centro, Montevideo",Salud,Centro de Estética,https://negozona.com.uy/anuncios/796
2026-09-21 14:05:54,890,SUPERMERCADO CON CARNICERIA,105000.0,"Ciudad Vieja, Montevideo",Alimentos y Bebidas,Supermercados,https://negozona.com.uy/anuncios/890
2026-09-21 14:05:44,386,Llave de Negocio | Almacén en Venta,110000.0,"Cerrito de la Victoria, Montevideo",Alimentos y Bebidas,Almacenes,https://negozona.com.uy/anuncios/386
2026-09-21 14:05:54,889,SUPERMERCADO CON CARNICERIA,165000.0,"Barrio Sur, Montevideo",Alimentos y Bebidas,Supermercados,https://negozona.com.uy/anuncios/889
2026-09-21 14:05:54,892,GRAN OPORTUNIDAD SUPERMERCADO CON CARNICERIA,175000.0,"Centro, Montevideo",Alimentos y Bebidas,Supermercados,https://negozona.com.uy/anuncios/892
2026-09-21 14:05:48,1001,Se Vende Empresa de Instalaciones,195000.0,"Tres Cruces, Montevideo",Servicios,Vigilancia y Seguridad,https://negozona.com.uy/anuncios/1001
2026-09-21 14:05:52,1365,Llave Local Comercial Importante Shopping,215000.0,"Pocitos, Montevideo",Tecnología y Media,Computación,https://negozona.com.uy/anuncios/1365
2026-09-21 14:05:42,156,Oportunidad! Autoservice y Panadería,380000.0,"Solís de Mataojo, Lavalleja",Alimentos y Bebidas,Almacenes,https://negozona.com.uy/anuncios/156
2026-09-21 14:05:42,479,Gimnasio en Punta Carretas,400000.0,"Punta Carretas, Montevideo",Deportes y Ocio,Gimnasios,https://negozona.com.uy/anuncios/479
2026-09-21 14:05:40,601,Complejo Turístico en Argentina! Oportunidad,490000.0,"Centro, Montevideo",Turismo y Hotelería,Hoteles y Alojamiento,https://negozona.com.uy/anuncios/601
2026-09-21 14:05:57,828,Venta de 2 Empresas en Durazno,500000.0,"Durazno, Durazno",Servicios,Otros,https://negozona.com.uy/anuncios/828
2026-09-21 14:05:42,155,Oportunidad | Panadería y Autoservice,600000.0,"Barros Blancos, Canelones",Alimentos y Bebidas,Panaderías,https://negozona.com.uy/anuncios/155
2026-09-21 14:05:48,847,Comercio Exterior Especializado,750000.0,"Punta del Este, Maldonado",Salud,Otros,https://negozona.com.uy/anuncios/847
2026-09-21 14:05:42,1095,Traspaso de Alquiler Vivienda/negocio,,"Carrasco, Montevideo",Hogar y Exteriores,Jardines y Exteriores,https://negozona.com.uy/anuncios/1095
2026-09-21 14:05:42,1291,PANADERIA OMBU,,"Sauce, Canelones",Alimentos y Bebidas,Panaderías,https://negozona.com.uy/anuncios/1291
2026-09-21 14:05:42,765,Alquiler Consultorios para Emprendedores,,"Centro, Montevideo",Servicios,Peluquerias,https://negozona.com.uy/anuncios/765
2026-09-21 14:05:44,1044,"Vendo El 50% de Lubricentro, Gomeria.",,"Brazo Oriental, Montevideo",Automóviles y Rodados,Lubricentro,https://negozona.com.uy/anuncios/1044
2026-09-21 14:05:44,347,Oportunidad de Cervecería-resto VENTA/PERMUTA,,"Ciudad de la Costa, Canelones",Gastronomía,Cervecería,https://negozona.com.uy/anuncios/347
2026-09-21 14:05:46,393,Almacén de Congelados y Frutería,,"Barrio Sur, Montevideo",Alimentos y Bebidas,Almacenes,https://negozona.com.uy/anuncios/393
2026-09-21 14:05:48,1372,Agencia ABITAB en Venta!,,"Centro, Montevideo",Servicios,Otros,https://negozona.com.uy/anuncios/1372
2026-09-21 14:05:48,485,Venta de Negocio - Academia de Conducir,,"Parque Batlle, Montevideo",Automóviles y Rodados,Otros,https://negozona.com.uy/anuncios/485
2026-09-21 14:05:50,424,Restó de Sushi Punta Carretas | Oportunidad,,"Punta Carretas, Montevideo",Gastronomía,Restaurantes,https://negozona.com.uy/anuncios/424
2026-09-21 14:05:50,1111,Vendo Gimnasio Sector en Plena Expansion,,"Uruguay, Uruguay",Deportes y Ocio,Gimnasios,https://negozona.com.uy/anuncios/1111
2026-09-21 14:05:52,1326,Vendo Gimnasio.,,"Maldonado, Maldonado",Deportes y Ocio,Gimnasios,https://negozona.com.uy/anuncios/1326
2026-09-21 14:05:52,570,VENDO Todo para Armar Tu Propio Negocio,,"Jacinto Vera, Montevideo",Indumentaria y Moda,Ropa para Mujeres,https://negozona.com.uy/anuncios/570
2026-09-21 14:05:54,814,Venta de Reconocida Librería!!,,"Centro, Montevideo",Educación y Oficina,Librerías,https://negozona.com.uy/anuncios/814
2026-09-21 14:05:54,1130,"Venta Llave Ropa Int, Cosmética, Maquillaje",,"Salinas, Canelones",Indumentaria y Moda,Ropa Interior,https://negozona.com.uy/anuncios/1130
2026-09-21 14:05:56,1073,Cancha Fútbol 5 - Colonia del Sacramento,,"Colonia del Sacramento, Colonia",Deportes y Ocio,Deportes y Fitness,https://negozona.com.uy/anuncios/1073
2026-09-21 14:05:56,743,Venta de Reconocida Empresa de Maldonado,,"Maldonado, Maldonado",Hogar y Exteriores,Electrodomesticos,https://negozona.com.uy/anuncios/743
2026-09-21 14:05:56,1125,Venta Llave de Gimnasio,,"Colonia del Sacramento, Colonia",Deportes y Ocio,Gimnasios,https://negozona.com.uy/anuncios/1125
2026-09-21 14:05:56,783,CENTRO ESTETICO EN CARRASCO,,"Carrasco, Montevideo",Salud,Centro de Estética,https://negozona.com.uy/anuncios/783
2026-09-21 14:05:57,849,Vendo Llave de Negocio,,"Belvedere, Montevideo",Indumentaria y Moda,Bijouterie y Accesorios,https://negozona.com.uy/anuncios/849
