fecha_extraccion,fuente,pagina,external_id,titulo,tipo_anuncio,categoria,subcategoria,ubicacion,descripcion,precio_texto,moneda,precio,precio_usd,telefono,premium,imagen,link,score_contacto,score_encaje,score_informacion,score_senal_negocio,riesgo_preliminar,recomendacion,senales,datos_faltantes,alertas,mensaje_contacto,estado,fecha_estado,notas_estado
2026-08-24 14:47:06,NegoZona,1,1357,LLAVE O FONDO DE NEGOCIO,Negocios,Servicios,Peluquerias,"Unión, Montevideo",OPORTUNIDAD DE NEGOCIO | PELUQUERÍA EN FUNCIONAMIENTO VENTA DE LLAVE DE NEGOCIO USD 7.000 Comenzá a trabajar desde el primer día. Si estás buscando emprender o expand...,USD 7.000,USD,7000.0,7000.0,094138467,False,Llave%20de%20Negocios%20en%20venta%20en%20NegoZona%20Uruguay_files/show_VENTA_LLAVE_NEGOCIO.webp,https://negozona.com.uy/anuncios/1357,58,86,70,20,20,Contactar,Montevideo | en funcionamiento | inversión hasta USD 25.000 | servicios,ventas/facturación | utilidad neta | alquiler y contrato | personal | dedicación del dueño,Sin alertas concluyentes en el aviso,"Hola, estoy interesado en el anuncio 1357 (LLAVE O FONDO DE NEGOCIO). Antes de coordinar una visita, ¿me podrías indicar ventas promedio mensuales de los últimos 12 meses; utilidad neta mensual, después de todos los costos; alquiler actual, gastos y plazo restante del contrato; cantidad de empleados, funciones y costo total mensual; horas y tareas que realiza hoy el propietario; qué activos y stock están incluidos en el precio? Gracias.",,,
2026-08-24 14:47:06,NegoZona,1,1369,"VENTA, LLAVE LOCAL DE ROPA EN FUNCIONAMIENTO",Negocios,Indumentaria y Moda,Ropa para Mujeres,"Pocitos, Montevideo","¡LLEGO LA OPORTUNIDAD PARA ABRIR TU NEGOCIO! Se vende llave de local de indumentaria en funcionamiento — Pocitos. Local ubicado en Pocitos, zona de buen tránsito peatonal y c...",USD 10.000,USD,10000.0,10000.0,099742899,True,Llave%20de%20Negocios%20en%20venta%20en%20NegoZona%20Uruguay_files/show_WhatsApp_Image_2026-08-05_at_13.57.03.webp,https://negozona.com.uy/anuncios/1369,55,78,70,20,20,Contactar,Montevideo | en funcionamiento | inversión hasta USD 25.000,ventas/facturación | utilidad neta | alquiler y contrato | personal | dedicación del dueño,Sin alertas concluyentes en el aviso,"Hola, estoy interesado en el anuncio 1369 (VENTA, LLAVE LOCAL DE ROPA EN FUNCIONAMIENTO). Antes de coordinar una visita, ¿me podrías indicar ventas promedio mensuales de los últimos 12 meses; utilidad neta mensual, después de todos los costos; alquiler actual, gastos y plazo restante del contrato; cantidad de empleados, funciones y costo total mensual; horas y tareas que realiza hoy el propietario; qué activos y stock están incluidos en el precio? Gracias.",,,
2026-08-24 14:47:06,NegoZona,1,1370,🚨 VENTA DE FONDO DE COMERCIO ÓPTICA EN FUNCI,Negocios,Salud,Ópticas,"Cordón, Montevideo",ÓPTICA EN FUNCIONAMIENTO – TOTALMENTE EQUIPADA – LISTA PARA CONTINUAR OPERANDO Por una reorganización de nuestra estructura y la imposibilidad de realizar una gestión presencia...,USD 18.000,USD,18000.0,18000.0,096093431,False,Llave%20de%20Negocios%20en%20venta%20en%20NegoZona%20Uruguay_files/show_Screenshot_20260810_204135_Maps.webp,https://negozona.com.uy/anuncios/1370,55,78,70,20,20,Contactar,Montevideo | en funcionamiento | inversión hasta USD 25.000,ventas/facturación | utilidad neta | alquiler y contrato | personal | dedicación del dueño,Sin alertas concluyentes en el aviso,"Hola, estoy interesado en el anuncio 1370 (🚨 VENTA DE FONDO DE COMERCIO ÓPTICA EN FUNCI). Antes de coordinar una visita, ¿me podrías indicar ventas promedio mensuales de los últimos 12 meses; utilidad neta mensual, después de todos los costos; alquiler actual, gastos y plazo restante del contrato; cantidad de empleados, funciones y costo total mensual; horas y tareas que realiza hoy el propietario; qué activos y stock están incluidos en el precio? Gracias.",,,
